HLLG #,Read bibliography
77,"Chavarría Arnau 2007, 248

C. Posac Mon, “Villa romana de Marbella,” NAH 1 (1972), 86-113. 

B. Mora Serrano, Notas sobre un depósito de sestercios altoimperiales procedentes de la villa romana de Río Verde, Mainake 21-22 (1999), 129-138"
78,
79,"Pedro Rodríguez-Oliva and José Beltrán Fortes, ""Cortijo Acevedo,"" in Hidalgo, ed., 2016, 580-584

García-Entero, Los balnea, 616"
80,"Rafael Puertas Tricas, ""Excavaciones en Mollina,"" Noticiaro Arqueológico Hispánico 28 (1986), 63-174"
81,"Juan Bautista Salado Escaño, ""2a fase de la intervención arqueológica preventiva de la villa romana de la Torre de Benagalbón, Málaga. Ampliación este en las zonas anexas de la pars urbana,"" AAA 2005, 2288-2297

Juan Bautista Salado Escaño, ""La villa romana de la Torre de Benagalbón, Málaga: primera descripción,"" Mainake 27 (2005), 353-378. 

Juan Bautista Salado Escaño and Arturo Pérez Plaza, ""Torre de Benagalbón,"" in Villas romanas de la Bética, vol. 2, 590-600

"
82,"Chavarría Arnau 2007, 248

Berlanga Paloma, M. J., ""La ocupación romana en el interior de la cunca del río Vélez (Málaga),"" Baetica 19 (1998), 287-305, at 291-292

B. Mora Serrano, “Monedas de Riogordo, Málaga (Bajo Imperio)”, Gaceta Numismática, 97-98 (1990), 111-114

M.J. Boto González and A. Riñones Carranza, “Villa romana de Auta, Riogordo (Málaga)”, Mainake, 11-12 (1989-1990), 111-124.
"
83,
84,"Hidalgo-Prieto 2016 for ceramics

José Manuel Castaño Aguilar, ""Un ejemplo de transformación del poblamiento rural durante la antigüedad tardía. La villa de “Morosanto” (Ronda, Málaga),"" Arqueología yTerritorio Medieval 19 (2012), 9-32"
85,"Francisco Javier Medianero Soto, J. C. Tellería Sebastián, ""Intervención arqueológica en la Sierra de Yeguas: materiales y cronología,"" Mainake 17-18 (1995-1996), 171-180. 

Francisco Javier Medianero Soto, J. C. Tellería Sebastián, ""Algunas consideraciones en torno al yacimiento Cerro Sánchez (Sierra de Yeguas, Málaga),"" AAA 1988, III, 245-250.

Escalante Gil, José Carlos, Melero García, Francisco, and Fernández Martín, Andrés, ""Actuación Arqueológica Preventiva de Sondeos en la Plaza de las Améicas, Casco Urbano de Sierra de Yeguas (Málaga),"" Anuario Arqueológico de Andalucía 2022. Preprint. 1-12"
86,"E. Serrano Ramos, R. Atencia Páez, and A. de Luque Moraño, ""Memoria de las excavaciones del yacimiento arqueológico de ‘El Tesorillo’ (Teba, Málaga),"" NAH 26 (1985), 119-156."
87,"Chavarría Arnau 2007, 248; García-Entero, Los balnea, 620-628

P. Rodríguez Oliva y R. Atencia Páez, “Excavaciones arqueológicas en Torrox-Costa (Málaga). Primera campaña: las termas”, NAH, 16 (1983) 225-276.

Pedro Rodríguez Oliva, ""Spes in Deo. A propósito de una marca impresa sobre un fragmento cerámico hallado en la necrópolis romana del Faro de Torrox ( Málaga),"" Mainake 8-9 (187-1988), 215-224. "
88,"Sebastián Corzo Pérez, ""Aportación inédita al conocimiento de las villae romanas de Alcalá de Guadaira, Sevilla,"" ROMVLA 12-13 (2013-2014), 19-64, at 23-38.

Sebastián Corzo Pérez, ""Adaines II,"" in Las villas romanas de la Bética, Hidalgo Prieto, ed., 2016, 649-657"
89,"Analysis in Garcia Vegas et al 2013 El Bajo Guadalquivir durante la Antigüedad Tardía (siglos III-VII d. C.). Ensayo de una tipología de asentamientos, 352-353. 

García-Entero, Los balnea, 631

Juana Román Domínguez, ""Las Canteras,"" in Las villas romanas de la Bética, Hidalgo Prieto, ed., 2016, 658-661"
90,"Sebastián Corzo Pérez, ""Pozo de la Culebra,"" in Las villas romanas de la Bética, Hidalgo Prieto, ed., 2016, 662-668"
91,"Sebastián Corzo Pérez, ""Aportación inédita al conocimiento de las villae romanas de Alcalá de Guadaira, Sevilla,"" ROMVLA 12-13 (2013-2014), 19-64, at 38-56.

Sebastián Corzo Pérez, ""Torrequinto (Alcalá de Guadaíra),"" in Hidalgo Prieto, ed., 2016, 669-678

"
92,"Hidalgo Prieto edited volume;

Enrique García Vargas, Francisco José García Fernández, Pablo Garrido González, Jacobo Vásquez Paz, Javier Escudero Carrillo, and Mark Hunt Ortiz, ""El Bajo Guadalquivir durante la Antigüedad Tardía (siglos III-VII d. C.). Ensayo de una tipología de asentamientos,"" in El espejismo del bárbaro. Ciudadanos y extranjeros al final de la antigüedad,"" 330-389, at 357-361; 

Jacobo Vázquez Paz and Mark A. Hunt Ortiz, ""Altos de Valdeparrillos (Bollullos de la Mitación, Sevilla). Una propiedad rural romana expoliada durante la antigüedad tardía."" LIGUSTINUS 1 (2013): 51-68. 

Enrique García Vargas and Jacobo Vázquez Paz, ""Rural population of farmlands south of the Guadalquivir valley in Late Antiquity (fourth-sixth century AD),"" The Theodosian Age (A.D. 379-455): Power, place, belief and learning at the end of the Western Empire (BAR International Series 2493), 99-122 (Oxford: Archaeopress, 2013).

"
93,"Chavarría Arnau 2007, 250

Jacobo Vázquez Paz and Mark A. Hunt Ortíz, ""El Alcaparral,"" in Las villas romanas de la Bética, ed. Hidalgo Prieto 2016, 684-692

A. De la Hoz and J. C. Jiménez, “Informe de la segunda campaña de excavaciones en la villa romana de “El Alcaparral” (Casariche, Sevilla),” AAA 1986, 371-379

L. Neira Jiménez, ""El programa iconográfico de los mosaicos de la villa romana de “El Alcaparral” (Casariche, Sevilla) en el conventus Astigitanus,"" Gerión. Revista de Historia Antigua, 39 (2021), 303-336"
94,"Garcia Vegas 2013, 367-372; also in Hidalgo Prieto ed. vol. 

Garrido, P.; Escudero Carrillo, J. (2013). El yacimiento tardoantiguo de Riopudio (Coria del Río, Sevilla). Ligustinus 1. 21-50."
95,"J. M. Vargas and A. Romo, ""La villa romana de Doña Ana II (Dos Hermanas, Sevilla),"" AAA 1997, III, 545-556

Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 748-751. 

Milagro Sánchez Romero, ""Doña Ana II,"" in Las villas romanas de la Bética, ed. Hidalgo Prieto 2016, 704-710"
96,"Chavarría Arnau 2007, 249

Rafael Hidalgo Prieto, ""Las Mezquitillas, Cortijo de Fuentidueñas,"" in Las villas romanas de la Bética, ed. Hidalgo Prieto 2016, 711-716"
97,"Alfonso Fanjul Peraza and Manuel Buzón Alarcón, “Los Pinos I (Fuentes de Andalucía, Sevilla): un gran centro productor de aceite bético,” Romula 12-13 (2013-2014), 125-154.

Alfonso Fanjul Peraza and Manuel Buzón Alarcón, ""Los Pinos I,"" in Las villas romanas de la Bética, ed. Hidalgo Prieto 2016, 717-727"
98,"Virginia García-Entero, ""Cortijo de Aparicio El Grande,"" in Hidalgo, ed., 2016, 728-733

Gorges 1979, 79

García-Entero, Los balnea, 646-650

Enrique Larrey Hoyuelos and Isabel Morales Reyes, ""Excavaciones en el Cortijo 'Aparicio el Grande',"" AAA 1986, vol. III, 408-412."
99,"Morín de Pablos, J., Roberto de Almeida, R. y Sánchez Hidalgo, F. 2011-2012: “Cerro Martos (Herrera, Sevilla). Un enclave de producción oleícola en el Alto Genil”, Anales de Prehistoria y Arqueología 27-28, 441-448

Jorge Morín de Pablos, Marta Escolà Martínez, Fernando Sánchez, Rafael Barroso Cabrera, Luis González, Mercedes Sánchez, and Mario López, ""El Cerro Martos (Herrera, Sevilla): una almazara de época altoimperial,"" Bolskan 20 (2003), 151-162, "
100,"A. S. Romo Salas and J. M. Vargas Jiménez, “El conjunto termal de Herrera (Sevilla), 1990”, AAA 1990, vol. III, 435-443.

Alejandro Vera Fernández, ""Análisis funcional y puesta en valor del conjunto termal de Herrera (Sevilla),"" ROMVLA 12-13 (2013-2014), 155-182

Manuel Buzón Alarcón, Inmaculada Carrasco Gómez, ""El conjunto termal de Herrera (Sevilla): Programas decorativos,"" ROMVLA 12-13 (2013-2014), 183-220

García-Entero, Los balnea, 652-657

Virginia García-Entero, ""Herrera,"" in Las villas romanas de la Bética, ed. Hidalgo Prieto 2016, 740-750

Alejandro Vera Fernández, ""'Control Arqueológico de Movimientos de Tierras con motivo del Proyecto “Puesta en valor y Centro de Interpretación del BIC Conjunto Termal Romano' (Herrera, Sevilla),"" Anuario Arqueológico de Andalucía (2010). "
101,"Hunt Ortiz 2012, 73-89; 

Garcia Vegas et al 2013, ""El Bajo Guadalquivir,"" 353-355. 

Jacobo Vázquez Paz and Mark A. Hunt Ortiz, ""SE-A,"" in Las villa romanas de la Bética, ed. Hidalgo Prieto 2016, 751-757"
102,"Inmaculada Carrasco Gómez, ""SE-B,"" in Las villas romanas de la Bética, ed. Hidalgo Prieto 2016, 758-763

Hunt Ortiz 2012, 73-89"
103,"Alvaro Fernández Flores and Inmaculada Carrasco Gómez, ""Los asentamientos rurales romanos del curso medio del río Viar (Sevilla),"" ROMVLA 12-13 (2013-2014), 95-124, at 118-120.

Inmaculada Carrasco Gómez, ""Pantano de los Melonares,"" in Hidalgo Prieto, ed., 2016, 765-772"
104,"Alvaro Fernández Flores and Inmaculada Carrasco Gómez, ""Los asentamientos rurales romanos del curso medio del río Viar (Sevilla),"" ROMVLA 12-13 (2013-2014), 95-124, at 107-115. 

Virginia García-Entero, """"La Tetilla,"" in Las villas romanas, ed. Hidalgo Prieto 2016, volume, 773-778"
105,"AAA 2002, III.1, 47-"
106,
107,
108,"AAA 2006 1543 ff
AAA 1987, 233 ff"
109,"Soledad Buero Martinez, Concepción Florido Navarro, and Francisco M. Domingues Mora, ""Prospección arqueológica superficial del termino de Alcalá de Guadaira, Sevilla. Campaña de 1987,"" AAA 1989, II, 116-123, at 116.

Juan Alonso de la Sierra Fernandez, ""Cerámicas foceas de barniz rojo (Late Roman C) en el valle del Guadalquivir y el Estrecho de Gibraltar,"" III Reunió d'Arqueologia Cristiana Hispanica, Mao (1988), 391-395 (Barcelona 1992)."
111,"David Martínez Chico and Alberto González García, ""Conjunto de nummi visigodos procedente de Los Cercadillos (Alcalá de Guadaíra, Sevilla),"" Erytheia 38 (2017): 9-23; Aìlvaro Fernaìndez-Flores, Ruth Pliego-Vaìzquez and Gabriel Carvajal-Mateos, “nuevos hallazgos de bronces visigodos en la provincia de Sevilla: una aproximacioìn metroloìgica y de composicioìn metaìlica,” Journal of Archaeological Numismatics 3 (2013), 275-304"
112,"Carr 2002, 207"
113,"Peña Cervantes 2010, Torcularia, vol. 2, 586

Moya, S. R., Pablo, J, ""Actuación arqueológica de urgencia en el Cortijo del Fundo de las Caserías de San Isidro (Alcalá La Real, Jaén),"" AAA 1993 III, 353-366."
114,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 717; Carr 2002, 214; García-Entero, Los balnea, 629

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 58."
115,
116,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 724

García-Entero, Los balnea, 631

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 154.

"
117,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 726; Carr 2002, 212

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 170."
118,"Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 154"
119,"Jarrega 1991; Carr 2002, 214
García-Entero, Los balnea, 657"
120,
121,
122,
123,"García-Entero, Los balnea, 589?"
124,"Jarrega 1991, 23"
126,
127,"Jarrega 1991, 23"
128,"Jarrega 1991, 23"
129,"Jarrega 1991, 23; García-Entero, Los balnea, 589"
130,"Jarrega 1991, 23; Juan Tovar, ""Las Industrias ceramicas hispanas en el bajo imperio,"" 1997, 545."
131,"Jarrega 1991, 23"
132,"Jarrega 1991, 23"
133,
134,
135,
136,
137,
139,
140,"Encarnación Serrano Ramos and Antonio de Luave Moraño, ""Informe sobre la tercera campaña de excavaciones arqueológicas en el Cortijo ""El Castillón"", Antequera (Málaga),"" AAA 1987, II, 342-345"
141,"Pérez 2011-2012 (Romula) for olive production; AAA 1993, III, 485-497

Manuel Romero Pérez, ""La necrópolis romana de las Maravillas. Bobadilla. Málaga,"" Mainake 15-16 (1993-1994), 195-222."
142,
143,
144,
145,
146,
147,"Carr 2002, 207"
148,
149,
150,
151,
152,
153,
154,
155,"M. I. Cisneros García et al. “Arroyo Villalta. Una gran figlina en el ager de Singilia Barba”, Mainake 35 (2015), 181-2012.

AAA 2004.1, 2347-2369. 

Luis Efrén Fernández Rodríguez, Manuel Romero Pérez, and Ana Arcas Barranquero, ""El complejo alfarero romano del Arroyo Villalta: Bobadilla, Antequera (Málaga),"" ROMVULA 10 (2009), 177-200. 
"
156,"Pérez and Vázquez 2018


Manuel Romero Pérez, Sebastián Vargas Vázquez, ""La villa romana de Bobadilla (Antequera-Málaga),"" ROMVLA 16 (2017), 119-138. "
157,
158,
159,"Ruiz Delgado, M. M. 1985: Carta arqueológica de la campiña de sevillana. Zona sureste I. Sevilla. 130-132."
160,
161,
162,
163,
164,
165,
166,
167,"GALLEGOS CASTELLÓN, L. (1999): “La villa y la necrópolis tardorromana de Armilla (Granada)”, Anuario Arqueológico de Andalucía 1999:III, pp. 251-258.

Peña Cervantes 2010, Torcularia, vol. 2, 576

Margarita Orfila Pons, Carlos Maeso Taviro, Elena Sánchez López, and Santiago Moreno Pérez, ""La ocupación rural de la Vega de Granada. Villae, aceite y vino,"" AnMurcia 27-28 (2011-2012), 421-429, at 424-425"
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,"Paloma Bueno Serrano, ""Baesippo, un ejemplo de poblamiento tardorromano en el litoral del Conventus Gaditanus,"" Revista de Claseshistoria 334 (2012), 1-76"
178,
179,
180,Jarrega 1991; also name comes from Hidalgo GDB but no geodata
181,"AAA 1998, III, 854-870; AAA 1999, III, 975-992"
182,"AAA 1998, III, 854-870"
183,"Jarrega 1991, 23; Carr 2002, 207"
184,
185,"Carr 2002, 206

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 89.

Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 723

García-Entero, Los balnea, 633"
186,"Carr 2002, 206

Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 730

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 93."
187,"Carr 2002, 206
Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 729
García-Entero, Los balnea, 634

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 90."
188,"García-Entero, Los balnea, 633

Carr 2002, 211"
189,
190,
191,
192,
193,
194,"Carr 2002, 213"
195,"Jarrega 1991, 22"
196,"García-Entero, Los balnea, 634"
197,
198,
199,"Jarrega 1991, 23"
200,
201,"Jarrega 1991, 23"
202,"Jarrega 1991, 23"
203,
204,"Jarrega 1991, 63"
205,
206,"Juan Tovar, ""Las Industrias ceramicas hispanas en el bajo imperio,"" 1997, 545

García-Entero, Los balnea, 640"
207,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 743; Carr 2002, 212

García-Entero, Los balnea, 639

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 210."
208,
209,
210,"García-Entero, Los balnea, 599"
211,"Alvaro Fernández Flores and Inmaculada Carrasco Gómez, ""Los asentamientos rurales romanos del curso medio del río Viar (Sevilla),"" ROMVLA 12-13 (2013-2014), 95-124, at 115-118"
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,"Jarrega 1991, 23"
222,
223,"Jarrega 1991, 65"
224,
225,"Peña Cervantes 2010, Torcularia, vol. 2, 470

García-Entero, Los balnea, 588"
226,Jarrega 1991
227,
228,"Jarrega 1991; Carr 2002, 208

Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 738

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 243.

Juan Alonso de la Sierra Fernández, ""Cerámicas africanas en Munigua y el Valle del Guadalquivir,"" Madrider Mitteilungen 39 (1998), 238-297, at 249"
229,
230,
231,"María José Berlanga Palomo and Serafín Becerra Martín, ""Nuevos datos arqueológicos para el estudio de Sabora,"" Mainake 31 (2009), 383-394, at 390-391. 

Aguayo, P. et al., ""Excavación arqueológica de urgencia en el yacimiento del pueblo de Cuevas del Becerro (Málaga) 1990,"" AAA 1990 III, 343-348.

M. Carrilero, O. Garrido, B. Nieto, and B. Padial, ""La villa romana de Las Viñas (Cuevas del Becerro, Málaga) y el poblamiento rural romano en la depresión de Ronda,"" Florentia Iliberritana, 6 (1995): 89-108.

Manuel Carrilero Millán, Olga Garrido Vílchez, and Bernardina Padial Robles, ""El marco histórico de la Antigüedad Tardía de la Serranía de Ronda: la villa romana de Cuevas del Becerro (Málaga),"" CVDAS 7-8: (2006-2007), 117-141.


José Ortiz Córdoba, ""Las monedas de la villa romana de 'Las Viñas' (Cueavs del Becerro, Málaga)."" HÉCATE 6, 96-121
"
232,
233,"AAA 1993, III, 670-682"
234,"Jarrega 1991, 22, 33, 63

Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 755-56. 

Fernández Gómez, F. et al., ""Excavaciones en Orippo. ‘Las Moriscas’ (Dos Hermanas, Sevilla),"" NAH 28 (1986), 27-60.

Juan Alonso de la Sierra Fernández, ""Cerámicas africanas en Munigua y el Valle del Guadalquivir,"" Madrider Mitteilungen 39 (1998), 238-297"
235,"AAA 1993, III, 670-682

AAA 1987, III, 639-643"
236,"Alvaro Fernández Flores and Inmaculada Carrasco Gómez, ""Los asentamientos rurales romanos del curso medio del río Viar (Sevilla),"" ROMVLA 12-13 (2013-2014), 95-124, at 99-104. 
"
237,"Margarita Orfila Pons, Carlos Maeso Taviro, Elena Sánchez López, and Santiago Moreno Pérez, ""La ocupación rural de la Vega de Granada. Villae, aceite y vino,"" AnMurcia 27-28 (2011-2012), 421-429, at 427"
